episode,total_reward,episode_length,collision_occurred,overtaking_complete,total_violations,avg_speed
0,-59.97938899895492,40,False,False,10,0.25032204
1,-337.8805172039041,40,False,False,38,0.2518669
2,-296.6793889989547,40,False,True,39,0.27063453
3,-329.7793889989549,40,False,False,37,0.25344706
4,-99.88051720390436,40,False,False,14,0.2518669
5,-226.68032151901173,40,False,True,27,0.26749498
6,42.02061100104507,40,False,False,0,0.25032204
7,-127.88051720390432,40,False,False,17,0.2518669
8,42.02061100104507,40,False,False,0,0.25032204
9,-75.18032152989483,40,False,True,12,0.28624496
10,-167.97938899895487,40,False,False,21,0.25032204
11,42.11948279609562,40,False,False,0,0.2518669
12,42.02061100104507,40,False,False,0,0.25032204
13,-37.880517203904354,40,False,False,8,0.2518669
14,42.02061100104507,40,False,False,0,0.25032204
15,-248.88051720340286,40,False,True,29,0.2674919
16,2.020611001045083,40,False,False,4,0.25032204
17,-196.18009373752045,40,False,False,24,0.27843603
18,-347.9793889989547,40,False,True,39,0.25032204
19,40.02061100104509,40,False,False,0,0.25032204
