episode,total_reward,episode_length,collision_occurred,overtaking_complete,total_violations,avg_speed
0,-127.07938899895494,40,False,True,22,0.29563457
1,-237.97938899895476,40,False,False,28,0.25032204
2,-167.28051715650778,40,False,False,21,0.2612419
3,42.11948279609562,40,False,False,0,0.2518669
4,-327.9793889989547,40,False,False,37,0.25032204
5,40.02061100104509,40,False,False,0,0.25032204
6,-349.47938899895496,40,False,False,39,0.25813454
7,-149.9793889989549,40,False,False,19,0.25032204
8,-227.88051720390425,40,False,False,27,0.2518669
9,-346.6793889989547,40,False,True,39,0.27063453
10,42.11948279609562,40,False,False,0,0.2518669
11,-116.42093265378647,3,True,False,2,0.30350122
12,40.02061100104509,40,False,False,0,0.25032204
13,-337.8805172039041,40,False,False,38,0.2518669
14,-237.9793889989548,40,False,False,28,0.25032204
15,40.02061100104509,40,False,False,0,0.25032204
16,-275.5800731742277,40,False,True,32,0.28781134
17,-107.88051720390439,40,False,False,15,0.2518669
18,40.02061100104509,40,False,False,0,0.25032204
19,42.42061100104507,40,False,False,0,0.25657204
