episode,total_reward,episode_length,collision_occurred,overtaking_complete,total_violations,avg_speed
0,40.119482796095646,40,False,False,0,0.2518669
1,-259.9793889989549,40,False,False,30,0.25032204
2,40.02061100104509,40,False,False,0,0.25032204
3,42.02061100104507,40,False,False,0,0.25032204
4,40.02061100104509,40,False,False,0,0.25032204
5,-297.88051720390416,40,False,False,34,0.2518669
6,42.02061100104507,40,False,False,0,0.25032204
7,-77.88051720390416,40,False,True,17,0.2518669
8,40.02061100104509,40,False,False,0,0.25032204
9,40.02061100104509,40,False,False,0,0.25032204
10,-69.88051720390435,40,False,False,11,0.2518669
11,-289.379388998955,40,False,False,33,0.25969705
12,-9.17938899895492,40,False,True,5,0.26282206
13,-109.67938899895492,40,False,True,15,0.25500956
14,-6.980510429206433,40,False,True,5,0.26592952
15,-119.97938899895492,40,False,False,16,0.25032204
16,-192.87938899895488,26,True,False,12,0.27413246
17,-121.97938899895492,18,True,False,4,0.24249108
18,-269.6793889989549,40,False,False,31,0.25500956
19,40.119482796095646,40,False,False,0,0.2518669
