episode,total_reward,episode_length,collision_occurred,overtaking_complete,total_violations,avg_speed
0,-124.30354636062009,5,True,False,3,0.27308708
1,-266.5293889990298,40,False,False,31,0.25029987
2,-331.7819417382094,35,True,False,27,0.25336325
3,-124.55244556822431,5,True,False,3,0.29395965
4,-116.48582453090604,3,True,False,2,0.30503654
5,-124.11689001306105,5,True,False,3,0.30413875
6,-124.25557370203867,5,True,False,3,0.31180328
7,40.16917507847427,40,False,False,0,0.25027776
8,-191.22938908667004,28,True,False,12,0.2469697
9,-116.54664802960636,3,True,False,2,0.29236498
10,-124.30465638092878,5,True,False,3,0.2786562
11,-124.35465638092876,5,True,False,3,0.28261137
12,40.02061100104509,40,False,False,0,0.25032204
13,-125.30000000000001,4,True,False,3,0.2763626
14,-121.71727176805578,7,True,False,3,0.30649358
15,-131.75244556844342,7,True,False,4,0.30151534
16,-329.88051720390433,40,False,False,37,0.2518669
17,-307.43190768127874,40,False,False,35,0.25179595
18,40.02061100104509,40,False,False,0,0.25032204
19,42.02061100104507,40,False,False,0,0.25032204
