episode,total_reward,episode_length,collision_occurred,overtaking_complete,total_violations,avg_speed
0,-124.30354636062009,5,True,False,3,0.27308708
1,-256.5293889990298,40,False,False,30,0.25029987
2,-340.68194173820945,36,True,False,28,0.2510728
3,-124.55244556822431,5,True,False,3,0.29395965
4,-116.48582453090604,3,True,False,2,0.30503654
5,-124.11689001306105,5,True,False,3,0.30413875
6,-124.25557370203867,5,True,False,3,0.31180328
7,40.16917507847427,40,False,False,0,0.25027776
8,-200.22938908667004,29,True,False,13,0.24527134
9,-116.54664802960636,3,True,False,2,0.29236498
10,-124.30465638092878,5,True,False,3,0.2786562
11,-124.35465638092876,5,True,False,3,0.28261137
12,40.02061100104509,40,False,False,0,0.25032204
13,-125.30000000000001,4,True,False,3,0.2763626
14,-121.71727176805578,7,True,False,3,0.30649358
15,-131.75244556844342,7,True,False,4,0.30151534
16,-329.88051720390433,40,False,False,37,0.2518669
17,-287.13190768127873,40,False,False,33,0.25179592
18,40.02061100104509,40,False,False,0,0.25032204
19,42.02061100104507,40,False,False,0,0.25032204
20,-128.48080768101846,40,False,False,17,0.25025064
21,-127.47990547854154,40,False,False,17,0.2498869
22,-125.45222591350267,4,True,False,3,0.2814686
23,-192.62938899902974,35,True,False,13,0.24897632
24,-116.5,3,True,False,2,0.28210893
25,-115.58577891797601,4,True,False,2,0.30690956
26,-119.17940624423447,10,True,False,3,0.2479773
27,-106.52939200226244,40,False,False,15,0.25027278
28,-322.0299054785395,27,True,False,25,0.24608834
29,-116.75243570149591,3,True,False,2,0.27207905
30,-134.10000000000002,5,True,False,4,0.2792607
31,-179.48194203525182,10,True,False,9,0.25244355
32,-131.75244556844342,7,True,False,4,0.297149
33,40.419482796095636,40,False,False,0,0.2518226
34,-112.95112420902772,6,True,False,2,0.2878258
35,-124.15244556822432,5,True,False,3,0.27895498
36,-125.50335215567546,4,True,False,3,0.26513493
37,-116.51689717270344,3,True,False,2,0.2985631
38,-125.23333333333335,4,True,False,3,0.30729166
39,40.16917507847427,40,False,False,0,0.25027776
40,-116.5,3,True,False,2,0.26058456
41,-124.55244556822431,5,True,False,3,0.28328437
42,-124.00112420902772,5,True,False,3,0.31235948
43,-133.4524455684425,6,True,False,4,0.29229528
44,-125.65244551928367,4,True,False,3,0.29327682
