episode,total_reward,episode_length,collision_occurred,overtaking_complete,total_violations,avg_speed
0,42.02061100104507,40,False,False,0,0.25032204
1,-125.4946056907799,4,True,False,3,0.29771787
2,-66.08051320798256,40,False,True,16,0.27999198
3,-125.265568653625,4,True,False,3,0.30225492
4,40.02061100104509,40,False,False,0,0.25032204
5,44.02061100104512,40,False,False,0,0.25032204
6,-202.85,15,True,False,12,0.3021169
7,42.120094521460516,40,False,False,0,0.25029987
8,41.96919231898157,40,False,False,0,0.25029987
9,-167.4446056905092,11,True,False,8,0.30712467
10,-67.98190768127871,40,False,False,11,0.25184518
11,41.96919231898157,40,False,False,0,0.25029987
12,-201.70112420902768,16,True,False,12,0.30089027
13,-185.15112420902773,13,True,False,10,0.2996616
14,-195.88051320798255,40,False,True,24,0.283117
15,40.02061100104509,40,False,False,0,0.25032204
16,40.02061100104509,40,False,False,0,0.25032204
17,-150.86556865347217,8,True,False,6,0.30737746
18,-185.15112420902773,13,True,False,10,0.29821107
19,40.119482796095646,40,False,False,0,0.2518669
